rs_id,chromosome,snp_position,gene_symbol,effect_size,p_adjust,regulated_gene,tissue,lincrna_begin,lincrna_end,gwas_id,gwas_phenotype
rs3892630,19,33181484,LOC105372367,-0.25,5.32E-05,ANKRD27,Adipose_Subcutaneous,33177995,33182656,23222517,red blood cell traits
rs3892630,19,33181484,LOC105372367,-0.58,9.83E-31,NUDT19,Adipose_Subcutaneous,33177995,33182656,23222517,red blood cell traits
rs3892630,19,33181484,LOC105372367,-0.43,2.95E-08,FAAP24,Adipose_Subcutaneous,33177995,33182656,23222517,red blood cell traits
rs11084786,19,35282181,LOC400685,-0.30,6.40E-11,ZNF181,Adipose_Subcutaneous,35279486,35307804,25811787,urate levels related
rs4794820,17,38089344,LOC101928947,-0.68,3.10E-19,GSDMA,Adipose_Subcutaneous,38084120,38095854,22561531,asthma related
rs6503525,17,38095174,LOC101928947,-0.68,1.33E-24,GSDMA,Adipose_Subcutaneous,38084120,38095854,21150878,asthma related
rs4794820,17,38089344,LOC101928947,-0.27,2.19E-05,MIR6884,Adipose_Subcutaneous,38084120,38095854,22561531,asthma related
rs6503525,17,38095174,LOC101928947,-0.25,9.59E-06,MIR6884,Adipose_Subcutaneous,38084120,38095854,21150878,asthma related
rs11022131,11,12072213,LOC105376554,-0.58,4.54E-11,MICAL2,Brain_Cerebellar_Hemisphere,12052422,12083332,26265036,warfarin maintenance dose
rs9392556,6,4146198,LOC100507506,-0.40,4.47E-06,ECI2,Brain_Cerebellar_Hemisphere,4136306,4157619,24816252,blood metabolite levels
rs6904029,6,29943067,HCG9,0.64,1.19E-07,HLA-F,Brain_Cerebellar_Hemisphere,29942889,29946183,24939585,age-related hearing impairment
rs6904029,6,29943067,HCG9,0.71,2.77E-06,IFITM4P,Brain_Cerebellar_Hemisphere,29942889,29946183,24939585,age-related hearing impairment
rs6904029,6,29943067,HCG9,0.83,5.86E-09,LOC554223,Brain_Cerebellar_Hemisphere,29942889,29946183,24939585,age-related hearing impairment
rs71327718,3,125592857,LOC101927056,1.13,7.65E-06,FAM86JP,Brain_Cerebellar_Hemisphere,125546100,125604920,23319000,metabolite levels
rs7523273,1,207977083,MIR29C,-0.58,1.75E-09,CD46,Brain_Cerebellar_Hemisphere,207974863,208042495,26198764,schizophrenia
rs7523273,1,207977083,MIR29C,-0.58,1.75E-09,CD46,Brain_Cerebellar_Hemisphere,207974863,208042495,25056061,schizophrenia
rs1318653,1,208014922,MIR29C,-0.63,2.76E-10,CD46,Brain_Cerebellar_Hemisphere,207974863,208042495,25344690,febrile seizures
rs1318653,1,208014922,MIR29C,-0.63,2.76E-10,CD46,Brain_Cerebellar_Hemisphere,207974863,208042495,25344690,febrile seizures
rs6669384,1,208025926,MIR29C,-0.64,2.75E-10,CD46,Brain_Cerebellar_Hemisphere,207974863,208042495,28289848,immune response to measles vaccine (measles-specific neutralising antibody titre)
rs6669384,1,208025926,MIR29C,-0.64,2.75E-10,CD46,Brain_Cerebellar_Hemisphere,207974863,208042495,28289848,immune response to measles vaccine (measles-specific neutralising antibody titre)
rs1967689,1,208039471,MIR29C,-0.59,1.46E-09,CD46,Brain_Cerebellar_Hemisphere,207974863,208042495,23326517,age-related macular degeneration
rs134882,22,42670965,OGFRP1,0.60,5.99E-08,NAGA,Brain_Cerebellar_Hemisphere,42665774,42671039,20889312,bipolar disorder
rs134882,22,42670965,OGFRP1,0.60,5.99E-08,NAGA,Brain_Cerebellar_Hemisphere,42665774,42671039,20889312,schizophrenia
rs134882,22,42670965,OGFRP1,-0.94,3.61E-13,CYP2D6,Brain_Cerebellar_Hemisphere,42665774,42671039,20889312,bipolar disorder
rs134882,22,42670965,OGFRP1,-0.94,3.61E-13,CYP2D6,Brain_Cerebellar_Hemisphere,42665774,42671039,20889312,schizophrenia
rs12802200,11,566936,MIR210HG,-0.21,3.27E-05,PTDSS2,Muscle_Skeletal,565660,568420,26502338,systemic lupus erythematosus
rs12802200,11,566936,MIR210HG,-0.21,1.66E-07,HRAS,Muscle_Skeletal,565660,568420,26502338,systemic lupus erythematosus
rs12802200,11,566936,MIR210HG,0.31,1.73E-06,TMEM80,Muscle_Skeletal,565660,568420,26502338,systemic lupus erythematosus
rs11078597,17,1618363,MIR22,-0.36,1.41E-16,SERPINF2,Muscle_Skeletal,1616742,1620468,23022100,serum albumin level
rs11078597,17,1618363,MIR22,-0.36,1.41E-16,SERPINF2,Muscle_Skeletal,1616742,1620468,23022100,serum albumin level
rs9392556,6,4146198,LOC100507506,-0.26,9.99E-06,C6orf201,Muscle_Skeletal,4136306,4157619,24816252,blood metabolite levels
rs144447022,6,29244219,LOC101929006,0.67,1.09E-05,ZSCAN23,Muscle_Skeletal,29191777,29258217,26198764,schizophrenia
rs144447022,6,29244219,LOC101929006,0.68,9.46E-06,ZFP57,Muscle_Skeletal,29191777,29258217,26198764,schizophrenia
rs6904029,6,29943067,HCG9,0.38,1.95E-06,IFITM4P,Muscle_Skeletal,29942889,29946183,24939585,age-related hearing impairment
rs144447022,6,29244219,LOC101929006,-0.67,2.40E-06,HLA-J,Muscle_Skeletal,29191777,29258217,26198764,schizophrenia
rs6904029,6,29943067,HCG9,0.39,2.62E-07,HLA-J,Muscle_Skeletal,29942889,29946183,24939585,age-related hearing impairment
rs10108511,8,11435516,LINC00208,0.28,7.12E-06,FAM167A-AS1,Muscle_Skeletal,11433822,11438851,27527254,barretts esophagus  or esophageal adenocarcinoma
rs7246657,19,37747108,LINC01535,0.29,1.10E-04,ZNF568,Muscle_Skeletal,37746818,37756377,23870195,coronary artery calcification
rs16975963,19,38325536,LOC100631378,0.24,4.20E-05,ZNF781,Muscle_Skeletal,38324103,38344187,20834067,longevity
rs71327718,3,125592857,LOC101927056,1.21,7.27E-31,FAM86JP,Muscle_Skeletal,125546100,125604920,23319000,metabolite levels
rs465530,12,65330766,FLJ41278,-0.44,3.91E-10,WIF1,Muscle_Skeletal,65277554,65368391,27595289,acute graft versus host disease in bone marrow transplantation (recipient effect)
rs2252790,6,116663323,DSE,0.20,1.78E-05,FRK,Muscle_Skeletal,116601381,116691436,28040410,fast beta electroencephalogram
rs7359257,15,67702907,IQCH-AS1,0.21,2.93E-07,MAP2K5,Muscle_Skeletal,67700415,67705876,21102462,menarche
rs7359257,15,67702907,IQCH-AS1,0.20,3.23E-05,SKOR1,Muscle_Skeletal,67700415,67705876,21102462,menarche
rs1372356,14,88515949,LINC01146,0.18,5.50E-05,GALC,Muscle_Skeletal,88511072,88559509,24962563,food antigen igg levels
rs11077614,17,70594629,LINC00511,0.18,1.45E-05,SLC39A11,Muscle_Skeletal,70594180,70636611,23400010,thiazide-induced adverse metabolic effects in hypertensive patients
rs9262631,6,31024601,HCG22,-0.67,4.71E-08,MICA,Muscle_Skeletal,31021984,31027653,26151496,thionamide-induced agranulocytosis in graves disease
rs9262632,6,31024808,HCG22,-0.67,4.71E-08,MICA,Muscle_Skeletal,31021984,31027653,21051598,hiv related
rs12526186,6,30736151,HCG20,-0.34,8.85E-05,MICB,Muscle_Skeletal,30734602,30760027,19721433,response to antipsychotic treatment
rs134882,22,42670965,OGFRP1,0.42,1.45E-13,NAGA,Muscle_Skeletal,42665774,42671039,20889312,bipolar disorder
rs134882,22,42670965,OGFRP1,0.42,1.45E-13,NAGA,Muscle_Skeletal,42665774,42671039,20889312,schizophrenia
rs134882,22,42670965,OGFRP1,0.25,6.29E-08,SMDT1,Muscle_Skeletal,42665774,42671039,20889312,bipolar disorder
rs134882,22,42670965,OGFRP1,0.25,6.29E-08,SMDT1,Muscle_Skeletal,42665774,42671039,20889312,schizophrenia
rs17807185,7,77308295,APTR,0.25,1.39E-06,TMEM60,Muscle_Skeletal,77288410,77325582,25282103,height
rs836788,5,79912044,LINC01337,0.21,1.41E-06,MSH3,Muscle_Skeletal,79904442,79918343,26831199,glomerular filtration rate (creatinine)
rs6882046,5,87968864,LINC00461,0.18,7.96E-05,MEF2C-AS1,Muscle_Skeletal,87963171,87980640,27225129,educational attainment (college completion)
rs6882046,5,87968864,LINC00461,0.18,7.96E-05,MEF2C-AS1,Muscle_Skeletal,87963171,87980640,27225129,educational attainment (years of education)
rs6882046,5,87968864,LINC00461,0.18,7.96E-05,MEF2C-AS1,Muscle_Skeletal,87963171,87980640,25201988,educational attainment
rs6882046,5,87968864,LINC00461,0.18,7.96E-05,MEF2C-AS1,Muscle_Skeletal,87963171,87980640,27089181,neuroticism
rs2955259,4,170873844,LOC100506085,-0.53,1.96E-15,MFAP3L,Muscle_Skeletal,170838912,170897053,25201988,educational attainment
rs11723530,4,170880883,LOC100506085,-0.65,2.05E-22,MFAP3L,Muscle_Skeletal,170838912,170897053,23049088,myopia
rs6981992,8,66463478,LINC01299,0.24,1.61E-08,ARMC1,Muscle_Skeletal,66439243,66475015,23251661,obesity
rs2562456,19,21666210,LINC00664,-0.54,7.88E-17,ZNF708,Muscle_Skeletal,21666176,21682100,19207018,pain
rs2562456,19,21666210,LINC00664,-0.22,1.20E-05,ZNF493,Muscle_Skeletal,21666176,21682100,19207018,pain
rs2562456,19,21666210,LINC00664,-0.26,8.33E-05,ZNF100,Muscle_Skeletal,21666176,21682100,19207018,pain
rs3892630,19,33181484,LOC105372367,-0.50,2.28E-20,NUDT19,Muscle_Skeletal,33177995,33182656,23222517,red blood cell traits
rs11084786,19,35282181,LOC400685,-0.24,1.59E-06,ZNF181,Muscle_Skeletal,35279486,35307804,25811787,urate levels related
rs4794820,17,38089344,LOC101928947,-0.34,5.45E-06,GSDMA,Muscle_Skeletal,38084120,38095854,22561531,asthma related
rs6503525,17,38095174,LOC101928947,-0.47,8.10E-12,GSDMA,Muscle_Skeletal,38084120,38095854,21150878,asthma related
rs71327718,3,125592857,LOC101927056,1.17,2.69E-06,FAM86JP,Brain_Nucleus_accumbens_basal_ganglia,125546100,125604920,23319000,metabolite levels
rs134882,22,42670965,OGFRP1,0.38,1.19E-06,NAGA,Brain_Nucleus_accumbens_basal_ganglia,42665774,42671039,20889312,bipolar disorder
rs134882,22,42670965,OGFRP1,0.38,1.19E-06,NAGA,Brain_Nucleus_accumbens_basal_ganglia,42665774,42671039,20889312,schizophrenia
rs134882,22,42670965,OGFRP1,-0.84,4.29E-16,CYP2D6,Brain_Nucleus_accumbens_basal_ganglia,42665774,42671039,20889312,bipolar disorder
rs134882,22,42670965,OGFRP1,-0.84,4.29E-16,CYP2D6,Brain_Nucleus_accumbens_basal_ganglia,42665774,42671039,20889312,schizophrenia
rs4733789,8,128834403,MIR1204,-0.42,6.89E-06,MYC,Brain_Nucleus_accumbens_basal_ganglia,128808279,128903229,25429064,height
rs12802200,11,566936,MIR210HG,-0.37,1.37E-06,HRAS,Adrenal_Gland,565660,568420,26502338,systemic lupus erythematosus
rs144447022,6,29244219,LOC101929006,1.11,4.74E-05,ZFP57,Adrenal_Gland,29191777,29258217,26198764,schizophrenia
rs6904029,6,29943067,HCG9,0.64,4.47E-06,IFITM4P,Adrenal_Gland,29942889,29946183,24939585,age-related hearing impairment
rs6904029,6,29943067,HCG9,0.52,7.44E-05,HLA-J,Adrenal_Gland,29942889,29946183,24939585,age-related hearing impairment
rs71327718,3,125592857,LOC101927056,0.80,1.12E-08,FAM86JP,Adrenal_Gland,125546100,125604920,23319000,metabolite levels
rs134882,22,42670965,OGFRP1,-0.56,8.35E-07,CYP2D6,Adrenal_Gland,42665774,42671039,20889312,bipolar disorder
rs134882,22,42670965,OGFRP1,-0.56,8.35E-07,CYP2D6,Adrenal_Gland,42665774,42671039,20889312,schizophrenia
rs12526186,6,30736151,HCG20,-0.53,1.06E-06,IER3,Adrenal_Gland,30734602,30760027,19721433,response to antipsychotic treatment
rs9262631,6,31024601,HCG22,1.11,6.59E-05,PSORS1C1,Adrenal_Gland,31021984,31027653,26151496,thionamide-induced agranulocytosis in graves disease
rs9262632,6,31024808,HCG22,1.11,6.59E-05,PSORS1C1,Adrenal_Gland,31021984,31027653,21051598,hiv related
rs17807185,7,77308295,APTR,-0.47,7.05E-06,PTPN12,Adrenal_Gland,77288410,77325582,25282103,height
rs836788,5,79912044,LINC01337,0.61,1.05E-12,MSH3,Adrenal_Gland,79904442,79918343,26831199,glomerular filtration rate (creatinine)
rs7188445,16,79734987,LINC01229,-0.69,2.00E-12,MAFTRR,Adrenal_Gland,79710005,79760326,23263486,urate levels
rs17767419,16,79744548,LINC01229,-0.67,1.31E-12,MAFTRR,Adrenal_Gland,79710005,79760326,21565293,thyroid related
rs3813582,16,79749353,LINC01229,-0.66,7.80E-11,MAFTRR,Adrenal_Gland,79747744,79832987,23408906,thyroid related
rs3813582,16,79749353,LINC01229,-0.66,7.80E-11,MAFTRR,Adrenal_Gland,79747744,79832987,23408906,thyroid related
rs3813582,16,79749353,LINC01229,-0.66,7.80E-11,MAFTRR,Adrenal_Gland,79747744,79832987,22494929,thyroid related
rs4575545,16,79755446,LINC01229,-0.67,2.80E-10,MAFTRR,Adrenal_Gland,79747744,79832987,24852370,serum thyroid-stimulating hormone levels
rs3892630,19,33181484,LOC105372367,-0.50,4.19E-09,NUDT19,Adrenal_Gland,33177995,33182656,23222517,red blood cell traits
rs6503525,17,38095174,LOC101928947,-0.52,1.57E-08,GSDMA,Adrenal_Gland,38084120,38095854,21150878,asthma related
rs71327718,3,125592857,LOC101927056,1.36,8.54E-07,FAM86JP,Brain_Putamen_basal_ganglia,125546100,125604920,23319000,metabolite levels
rs11717138,3,156534628,LINC00886,0.75,2.64E-06,LEKR1,Brain_Putamen_basal_ganglia,156470852,156534851,27182965,nose size
rs134882,22,42670965,OGFRP1,-0.74,4.40E-11,CYP2D6,Brain_Putamen_basal_ganglia,42665774,42671039,20889312,bipolar disorder
rs134882,22,42670965,OGFRP1,-0.74,4.40E-11,CYP2D6,Brain_Putamen_basal_ganglia,42665774,42671039,20889312,schizophrenia
rs3892630,19,33181484,LOC105372367,-0.81,1.38E-05,ANKRD27,Brain_Putamen_basal_ganglia,33177995,33182656,23222517,red blood cell traits
rs12802200,11,566936,MIR210HG,-0.15,2.80E-05,PTDSS2,Whole_Blood,565660,568420,26502338,systemic lupus erythematosus
rs12802200,11,566936,MIR210HG,0.20,2.15E-06,TMEM80,Whole_Blood,565660,568420,26502338,systemic lupus erythematosus
rs9314986,13,30458737,LINC00297,0.16,2.51E-05,SLC7A1,Whole_Blood,30446750,30462542,20460270,biliary atresia
rs2236176,20,21081488,LOC105372556,0.23,4.73E-05,KIZ,Whole_Blood,21074199,21086975,25673413,body mass index
rs2236176,20,21081488,LOC105372556,0.23,4.73E-05,KIZ,Whole_Blood,21074199,21086975,25673413,body mass index
rs12500482,4,2430235,CFAP99,0.15,6.12E-10,ZFYVE28,Whole_Blood,2428248,2452087,28093568,cognition related
rs144447022,6,29244219,LOC101929006,0.96,7.22E-10,ZFP57,Whole_Blood,29191777,29258217,26198764,schizophrenia
rs6904029,6,29943067,HCG9,-0.37,4.77E-06,ZFP57,Whole_Blood,29942889,29946183,24939585,age-related hearing impairment
rs6904029,6,29943067,HCG9,0.51,1.79E-11,IFITM4P,Whole_Blood,29942889,29946183,24939585,age-related hearing impairment
rs144447022,6,29244219,LOC101929006,-0.64,3.95E-05,HLA-J,Whole_Blood,29191777,29258217,26198764,schizophrenia
rs6904029,6,29943067,HCG9,0.47,3.42E-09,HLA-J,Whole_Blood,29942889,29946183,24939585,age-related hearing impairment
rs12546962,8,9198185,LOC157273,0.34,4.67E-05,LOC101929128,Whole_Blood,9183618,9225402,25673413,body mass index
rs12546962,8,9198185,LOC157273,0.34,4.67E-05,LOC101929128,Whole_Blood,9183618,9225402,25673413,body mass index
rs10108511,8,11435516,LINC00208,-0.38,8.30E-08,FAM167A,Whole_Blood,11433822,11438851,27527254,barretts esophagus  or esophageal adenocarcinoma
rs10108511,8,11435516,LINC00208,0.14,4.42E-05,BLK,Whole_Blood,11433822,11438851,27527254,barretts esophagus  or esophageal adenocarcinoma
rs7246657,19,37747108,LINC01535,0.29,1.34E-05,ZNF793,Whole_Blood,37746818,37756377,23870195,coronary artery calcification
rs7246657,19,37747108,LINC01535,-0.23,8.60E-05,ZFP30,Whole_Blood,37746818,37756377,23870195,coronary artery calcification
rs11672691,19,41985587,PCAT19,0.36,2.47E-11,CEACAM21,Whole_Blood,41961684,42006539,23065704,prostate cancer
rs71327718,3,125592857,LOC101927056,0.58,4.22E-07,FAM86JP,Whole_Blood,125546100,125604920,23319000,metabolite levels
rs134882,22,42670965,OGFRP1,0.31,2.47E-10,SMDT1,Whole_Blood,42665774,42671039,20889312,bipolar disorder
rs134882,22,42670965,OGFRP1,0.31,2.47E-10,SMDT1,Whole_Blood,42665774,42671039,20889312,schizophrenia
rs134882,22,42670965,OGFRP1,-0.70,5.70E-34,CYP2D6,Whole_Blood,42665774,42671039,20889312,bipolar disorder
rs134882,22,42670965,OGFRP1,-0.70,5.70E-34,CYP2D6,Whole_Blood,42665774,42671039,20889312,schizophrenia
rs12526186,6,30736151,HCG20,0.40,6.75E-05,HLA-L,Whole_Blood,30734602,30760027,19721433,response to antipsychotic treatment
rs12526186,6,30736151,HCG20,-0.29,4.05E-05,IER3,Whole_Blood,30734602,30760027,19721433,response to antipsychotic treatment
rs12526186,6,30736151,HCG20,0.20,6.73E-06,VARS2,Whole_Blood,30734602,30760027,19721433,response to antipsychotic treatment
rs3094117,6,30737486,HCG20,-0.18,3.86E-07,VARS2,Whole_Blood,30734602,30760027,23793025,migraine
rs9262631,6,31024601,HCG22,-0.39,2.34E-07,CCHCR1,Whole_Blood,31021984,31027653,26151496,thionamide-induced agranulocytosis in graves disease
rs9262632,6,31024808,HCG22,-0.39,2.34E-07,CCHCR1,Whole_Blood,31021984,31027653,21051598,hiv related
rs9262631,6,31024601,HCG22,-0.42,1.19E-05,MICA,Whole_Blood,31021984,31027653,26151496,thionamide-induced agranulocytosis in graves disease
rs9262632,6,31024808,HCG22,-0.42,1.19E-05,MICA,Whole_Blood,31021984,31027653,21051598,hiv related
rs17807185,7,77308295,APTR,-0.13,1.10E-06,PTPN12,Whole_Blood,77288410,77325582,25282103,height
rs6028335,20,37845477,LOC339568,-0.26,2.16E-05,FAM83D,Whole_Blood,37842420,37853391,22488850,alcohol related
rs836788,5,79912044,LINC01337,0.26,7.05E-08,ANKRD34B,Whole_Blood,79904442,79918343,26831199,glomerular filtration rate (creatinine)
rs836788,5,79912044,LINC01337,0.26,3.07E-07,DHFR,Whole_Blood,79904442,79918343,26831199,glomerular filtration rate (creatinine)
rs836788,5,79912044,LINC01337,0.46,1.85E-17,MSH3,Whole_Blood,79904442,79918343,26831199,glomerular filtration rate (creatinine)
rs4743820,9,93928416,LINC00484,0.30,4.75E-09,LOC100507103,Whole_Blood,93881344,93945044,23128233,inflammatory bowel disease
rs4743820,9,93928416,LINC00484,0.30,4.75E-09,LOC100507103,Whole_Blood,93881344,93945044,28067908,inflammatory bowel disease
rs4743820,9,93928416,LINC00484,0.30,4.75E-09,LOC100507103,Whole_Blood,93881344,93945044,26192919,inflammatory bowel disease
rs4743820,9,93928416,LINC00484,0.30,4.75E-09,LOC100507103,Whole_Blood,93881344,93945044,26192919,ulcerative colitis
rs2562456,19,21666210,LINC00664,-0.38,5.01E-11,ZNF708,Whole_Blood,21666176,21682100,19207018,pain
rs2562456,19,21666210,LINC00664,-0.28,6.08E-05,ZNF100,Whole_Blood,21666176,21682100,19207018,pain
rs1160544,2,100832218,LINC01104,-0.14,7.33E-06,AFF3,Whole_Blood,100824716,100867946,27798627,age at first birth
rs1160544,2,100832218,LINC01104,-0.14,7.33E-06,AFF3,Whole_Blood,100824716,100867946,27798627,age at first birth
rs35741374,2,61072567,LINC01185,-0.21,1.21E-05,PUS10,Whole_Blood,61052267,61108449,25574825,inflammatory skin disease
rs842625,2,61080482,LINC01185,0.21,1.21E-05,PUS10,Whole_Blood,61074895,61108449,25903422,psoriasis
rs842625,2,61080482,LINC01185,0.21,1.21E-05,PUS10,Whole_Blood,61074895,61108449,25903422,psoriasis
rs702873,2,61081542,LINC01185,0.21,8.88E-06,PUS10,Whole_Blood,61074895,61108449,25574825,psoriasis
rs702873,2,61081542,LINC01185,0.21,8.88E-06,PUS10,Whole_Blood,61074895,61108449,22170493,psoriatic arthritis
rs702873,2,61081542,LINC01185,0.21,8.88E-06,PUS10,Whole_Blood,61074895,61108449,20953190,psoriasis
rs62149416,2,61083506,LINC01185,0.20,3.79E-05,PUS10,Whole_Blood,61074895,61108449,26626624,psoriasis vulgaris
rs842636,2,61091950,LINC01185,0.21,1.03E-05,PUS10,Whole_Blood,61074895,61108449,20953189,psoriasis
rs28397663,17,47328183,FLJ40194,0.11,4.11E-05,ZNF652,Whole_Blood,47325605,47336024,27182965,allergy
rs16948048,17,47440466,LOC102724596,0.11,2.46E-05,ZNF652,Whole_Blood,47439744,47443454,19430483,diastolic blood pressure
rs4794820,17,38089344,LOC101928947,0.32,1.14E-24,GSDMB,Whole_Blood,38084120,38095854,22561531,asthma related
rs6503525,17,38095174,LOC101928947,0.23,1.22E-14,GSDMB,Whole_Blood,38084120,38095854,21150878,asthma related
rs4794820,17,38089344,LOC101928947,0.33,8.74E-24,ORMDL3,Whole_Blood,38084120,38095854,22561531,asthma related
rs6503525,17,38095174,LOC101928947,0.23,9.12E-13,ORMDL3,Whole_Blood,38084120,38095854,21150878,asthma related
rs11260603,1,1079198,LINC01342,-0.53,1.35E-09,TTLL10,Thyroid,1072397,1079436,23382691,igg related
rs12802200,11,566936,MIR210HG,0.29,4.60E-06,ANO9,Thyroid,565660,568420,26502338,systemic lupus erythematosus
rs12802200,11,566936,MIR210HG,-0.20,3.85E-05,PTDSS2,Thyroid,565660,568420,26502338,systemic lupus erythematosus
rs12802200,11,566936,MIR210HG,-0.28,1.18E-06,RNH1,Thyroid,565660,568420,26502338,systemic lupus erythematosus
rs12802200,11,566936,MIR210HG,-0.29,1.48E-08,HRAS,Thyroid,565660,568420,26502338,systemic lupus erythematosus
rs12802200,11,566936,MIR210HG,0.29,3.80E-05,TMEM80,Thyroid,565660,568420,26502338,systemic lupus erythematosus
rs35600665,15,24741291,PWRN1,0.40,3.74E-06,PWRN3,Thyroid,24738284,24758291,23251661,obesity
rs7403037,15,24818497,PWRN1,0.45,3.29E-07,PWRN3,Thyroid,24815173,24832920,26584805,plasma omega-3 polyunsaturated fatty acid levels (docosahexaenoic acid)
rs4924410,15,40339494,SRP14-AS1,-0.34,1.59E-13,EIF2AK4,Thyroid,40331550,40349184,22327514,ewing sarcoma
rs6048216,20,22581268,LINC01384,-0.49,5.74E-07,LINC00261,Thyroid,22568160,22588155,25187374,fasting insulin and glucose-related traits
rs6048216,20,22581268,LINC01384,-0.42,3.65E-08,FOXA2,Thyroid,22568160,22588155,25187374,fasting insulin and glucose-related traits
rs9392556,6,4146198,LOC100507506,-0.25,1.39E-05,C6orf201,Thyroid,4136306,4157619,24816252,blood metabolite levels
rs9392556,6,4146198,LOC100507506,-0.21,1.95E-05,ECI2,Thyroid,4136306,4157619,24816252,blood metabolite levels
rs144447022,6,29244219,LOC101929006,1.23,1.17E-10,ZFP57,Thyroid,29191777,29258217,26198764,schizophrenia
rs6904029,6,29943067,HCG9,0.36,4.36E-05,IFITM4P,Thyroid,29942889,29946183,24939585,age-related hearing impairment
rs144447022,6,29244219,LOC101929006,-0.53,2.41E-04,HLA-J,Thyroid,29191777,29258217,26198764,schizophrenia
rs6904029,6,29943067,HCG9,0.44,7.74E-11,HLA-J,Thyroid,29942889,29946183,24939585,age-related hearing impairment
rs6904029,6,29943067,HCG9,0.40,2.46E-07,TRIM31,Thyroid,29942889,29946183,24939585,age-related hearing impairment
rs6904029,6,29943067,HCG9,0.22,9.77E-06,RPP21,Thyroid,29942889,29946183,24939585,age-related hearing impairment
rs10108511,8,11435516,LINC00208,0.28,1.19E-05,TDH,Thyroid,11433822,11438851,27527254,barretts esophagus  or esophageal adenocarcinoma
rs7246657,19,37747108,LINC01535,0.30,7.01E-05,ZNF568,Thyroid,37746818,37756377,23870195,coronary artery calcification
rs7246657,19,37747108,LINC01535,-0.41,3.46E-06,WDR87,Thyroid,37746818,37756377,23870195,coronary artery calcification
rs16975963,19,38325536,LOC100631378,0.44,1.24E-09,WDR87,Thyroid,38324103,38344187,20834067,longevity
rs71327718,3,125592857,LOC101927056,0.92,3.68E-18,FAM86JP,Thyroid,125546100,125604920,23319000,metabolite levels
rs7359257,15,67702907,IQCH-AS1,0.24,4.79E-07,IQCH,Thyroid,67700415,67705876,21102462,menarche
rs7359257,15,67702907,IQCH-AS1,0.21,5.57E-07,MAP2K5,Thyroid,67700415,67705876,21102462,menarche
rs134882,22,42670965,OGFRP1,0.45,1.42E-16,NAGA,Thyroid,42665774,42671039,20889312,bipolar disorder
rs134882,22,42670965,OGFRP1,0.45,1.42E-16,NAGA,Thyroid,42665774,42671039,20889312,schizophrenia
rs134882,22,42670965,OGFRP1,0.27,1.12E-05,SMDT1,Thyroid,42665774,42671039,20889312,bipolar disorder
rs134882,22,42670965,OGFRP1,0.27,1.12E-05,SMDT1,Thyroid,42665774,42671039,20889312,schizophrenia
rs134882,22,42670965,OGFRP1,-0.65,5.92E-20,CYP2D6,Thyroid,42665774,42671039,20889312,bipolar disorder
rs134882,22,42670965,OGFRP1,-0.65,5.92E-20,CYP2D6,Thyroid,42665774,42671039,20889312,schizophrenia
rs2797160,6,126010116,LOC643623,0.34,1.62E-07,HEY2,Thyroid,125995499,126041364,27008869,endometrial cancer
rs13328298,6,126016580,LOC643623,0.34,1.63E-07,HEY2,Thyroid,125995499,126041364,27135401,endometrial endometrioid carcinoma
rs13328298,6,126016580,LOC643623,0.34,1.63E-07,HEY2,Thyroid,125995499,126041364,27135401,endometrial cancer
rs1777220,6,126022602,LOC643623,0.37,4.05E-09,HEY2,Thyroid,125995499,126041364,24096698,endometrial cancer
rs3094117,6,30737486,HCG20,0.17,2.26E-05,ABCF1,Thyroid,30734602,30760027,23793025,migraine
rs9262631,6,31024601,HCG22,0.93,1.42E-09,PSORS1C1,Thyroid,31021984,31027653,26151496,thionamide-induced agranulocytosis in graves disease
rs9262632,6,31024808,HCG22,0.93,1.42E-09,PSORS1C1,Thyroid,31021984,31027653,21051598,hiv related
rs9262631,6,31024601,HCG22,1.06,8.85E-11,PSORS1C2,Thyroid,31021984,31027653,26151496,thionamide-induced agranulocytosis in graves disease
rs9262632,6,31024808,HCG22,1.06,8.85E-11,PSORS1C2,Thyroid,31021984,31027653,21051598,hiv related
rs9262631,6,31024601,HCG22,-0.35,9.77E-05,CCHCR1,Thyroid,31021984,31027653,26151496,thionamide-induced agranulocytosis in graves disease
rs9262632,6,31024808,HCG22,-0.35,9.77E-05,CCHCR1,Thyroid,31021984,31027653,21051598,hiv related
rs9262631,6,31024601,HCG22,-0.64,4.00E-06,POU5F1,Thyroid,31021984,31027653,26151496,thionamide-induced agranulocytosis in graves disease
rs9262632,6,31024808,HCG22,-0.64,4.00E-06,POU5F1,Thyroid,31021984,31027653,21051598,hiv related
rs9262631,6,31024601,HCG22,-0.53,1.11E-04,MICA,Thyroid,31021984,31027653,26151496,thionamide-induced agranulocytosis in graves disease
rs9262632,6,31024808,HCG22,-0.53,1.11E-04,MICA,Thyroid,31021984,31027653,21051598,hiv related
rs17807185,7,77308295,APTR,-0.25,2.35E-08,PTPN12,Thyroid,77288410,77325582,25282103,height
rs17807185,7,77308295,APTR,-0.21,7.03E-05,TMEM60,Thyroid,77288410,77325582,25282103,height
rs17113771,5,152278020,LINC01470,-0.44,9.59E-08,NMUR2,Thyroid,152264987,152351343,27089181,life satisfaction
rs4262150,5,152288453,LINC01470,0.39,1.61E-06,NMUR2,Thyroid,152264987,152351343,22688191,bipolar disorder
